宠物ID,名称(自动),元素(自动),体型(自动),宠物定位(自动),阶段,敌方定位,HP,攻,防,盾,行动,机制ID,机制参数,面板分,机制分,克制,推荐日,备注
pal_001,棉悠悠,风,小型,经济,教学,小怪,6,1,0,0,3,none,44,24,0,44,44,44
pal_042,炽焰牛,火,小型,输出,中期,小怪,10,2,0,0,3,mech_self_destruct,44,31,16,44,44,44
pal_006,冲浪鸭,水,小型,治疗,中期,小怪,10,2,0,0,3,mech_poison,44,31,16,44,44,44
pal_003,皮皮鸡,风,小型,经济,中期,小怪,10,3,0,0,3,mech_weaken,44,34,16,44,44,44
pal_022,遁地鼠,土,中型,坦克,教学,肉盾,25,1,0,0,2,none,44,38,0,44,44,44
pal_017,瞅什魔,土,大型,坦克,后期,肉盾,40,3,0,0,2,mech_firm_threshold,44,59,32,44,44,44
pal_091,佩克龙,水,大型,坦克,后期,肉盾,35,2,0,6,2,mech_revive,44,81,40,44,44,44
pal_005,火绒狐,火,中型,输出,前期,护盾怪,10,2,0,6,3,mech_shielded_fragile,44,61,32,44,44,44
pal_088,冰棘兽,水,中型,坦克,前期,护盾怪,15,2,0,6,3,mech_opening_shield,44,66,16,44,44,44
pal_023,勾魂鱿,土,中型,坦克,中期,护盾怪,25,2,0,6,3,mech_shield_regen,44,76,24,44,44,44
pal_032,吊缚灵,土,中型,坦克,前中期,限伤怪,30,3,0,0,3,mech_damage_cap,44,54,40,44,44,44
pal_097,寒霜兽,水,大型,坦克,后期,限伤怪,40,3,0,6,3,mech_damage_cap,44,94,40,44,44,44
pal_002,捣蛋猫,风,小型,坦克,前中期,首伤怪,20,3,0,0,3,mech_first_hit_block,44,44,24,44,44,44
pal_009,燎火鹿,火,中型,输出,中后期,首伤怪,25,3,0,6,3,mech_first_hit_block,44,79,24,44,44,44
pal_040,炎魔羊,火,中型,输出,前中期,反击怪,25,4,0,0,3,mech_counter,44,52,24,44,44,44
pal_046,月镰魔,土,中型,坦克,中后期,反击怪,30,4,0,6,3,mech_counter,44,87,24,44,44,44
pal_061,苍焰狼,火,中型,输出,前中期,成长怪,25,2,0,0,3,mech_grow_attack,44,46,24,44,44,44
pal_079,焰巫狐,火,中型,输出,中期,成长怪,35,3,0,0,3,mech_grow_attack,44,59,24,44,44,44
pal_031,鲨小子,水,中型,治疗,前中期,成长怪,25,2,0,6,3,mech_grow_shield,44,76,24,44,44,44
pal_019,寐魔,土,大型,坦克,中后期,成长怪,30,3,0,10,3,mech_grow_shield,44,104,24,44,44,44
pal_067,流沙蛇,土,中型,坦克,前期,召唤怪,20,1,0,0,3,mech_summon,44,38,32,44,44,44
pal_055,疾旋鼬,水,中型,控制,中期,召唤怪,30,2,0,6,3,mech_summon,44,81,32,44,44,44
pal_106,夜幕魔蝠,土,大型,坦克,后期,召唤怪,35,3,0,6,3,"mech_summon,mech_revive",44,89,72,44,44,44
pal_072,融焰娘,火,小型,召唤,中期,光环怪,20,2,0,0,3,mech_aura,44,41,32,44,44,44
pal_029,波霸牛,风,中型,经济,后期,光环怪,25,2,0,6,3,"mech_aura,mech_curse",44,76,56,44,44,44
pal_068,噬魂兽,土,中型,坦克,中期,城堡怪,25,3,0,0,2,mech_break_castle,44,44,32,44,44,44
pal_073,烽歌龙,火,中型,机动,中后期,城堡怪,30,4,0,0,3,"mech_break_castle,mech_multi_hit",44,57,56,44,44,44
pal_014,玉藻狐,风,小型,经济,前中期,偷奖励怪,15,2,0,0,4,mech_steal_reward,44,41,24,44,44,44
pal_026,猎狼,风,中型,机动,后期,偷奖励怪,20,3,0,6,4,"mech_steal_reward,mech_pierce_shield",44,79,48,44,44,44
pal_089,狱焰王,火,大型,输出,中后期,精英怪,40,5,0,10,4,"mech_multi_hit,mech_armor_break",44,125,48,44,44,44
pal_101,雪猛犸,水,大型,坦克,后期,精英怪,35,4,0,15,4,"mech_shield_regen,mech_pierce_shield",44,142,48,44,44,44
pal_110,魔渊龙,土,大型,坦克,后期,精英怪,50,4,6,6,4,"mech_firm_threshold,mech_curse",44,130,56,44,44,44
pal_124,混沌骑士,土,大型,坦克,终局,Boss,60,5,6,15,5,"mech_zone_pressure,mech_revive,mech_break_castle",44,193,104,44,44,44
pal_090,狱阎王,火,大型,输出,终局,Boss,70,5,10,10,5,"mech_damage_cap,mech_summon,mech_aura",44,190,104,44,44,44
