事件ID,事件组,事件名,节点,天数,选项ID,选项文案,宠物ID,名称(自动),元素(自动),定位(自动),机制ID,机制名(自动),商店池ID,奖励池ID,代价,收益,数值,接入层级,状态,备注
evt_shop_fire,定向商店,火元素补货,夜晚商店,D1-D10,A,刷新后火系候选+2,pal_005,火绒狐,火,输出,none,无机制,elem_火,reward_pT1,金币-1,火系商品位+2,2,shop_phase,正式,元素定向商店
evt_shop_water,定向商店,水元素补货,夜晚商店,D1-D10,A,刷新后水系候选+2,pal_010,企丸丸,水,治疗,none,无机制,elem_水,reward_pT1,金币-1,水系商品位+2,2,shop_phase,正式,元素定向商店
evt_shop_wind,定向商店,风元素补货,夜晚商店,D1-D10,A,刷新后风系候选+2,pal_003,皮皮鸡,风,经济,none,无机制,elem_风,reward_pT1,金币-1,风系商品位+2,2,shop_phase,正式,元素定向商店
evt_shop_earth,定向商店,土元素补货,夜晚商店,D1-D10,A,刷新后土系候选+2,pal_019,寐魔,土,坦克,none,无机制,elem_土,reward_pT1,金币-1,土系商品位+2,2,shop_phase,正式,元素定向商店
evt_role_summon,定位补强,召唤流补强,夜晚商店,D2-D10,A,召唤定位候选+2,pal_072,融焰娘,火,召唤,none,无机制,role_召唤,reward_summon,金币-2,召唤商品位+2,2,shop_phase,正式,定位商店
evt_role_tank,定位补强,前排补强,夜晚商店,D2-D10,A,坦克定位候选+2,pal_017,瞅什魔,土,坦克,none,无机制,role_坦克,reward_tank,金币-2,坦克商品位+2,2,shop_phase,正式,定位商店
evt_free_roll,商店经济,免费刷新,夜晚商店,D1-D10,A,本晚获得1次免费刷新,pal_007,伏特喵,风,坦克,none,无机制,night_base,reward_pT1,无,免费刷新+1,1,shop_phase,正式,轻量经济事件
evt_discount,商店经济,折扣摊位,夜晚商店,D1-D10,A,下一件商品半价,pal_008,新叶猿,风,坦克,none,无机制,night_base,reward_pT1,金币-1,折扣50%,50,shop_phase,正式,事件商店
evt_duplicate,合成,同名复制,夜晚商店,D3-D10,A,复制一个已拥有宠物,pal_009,燎火鹿,火,输出,none,无机制,special_merchant,reward_pT2,金币-4,复制候选+1,1,shop_phase,待接入,复制商店
evt_upgrade_offer,合成,升阶机会,夜晚商店,D4-D10,A,给一个同名升阶候选,pal_010,企丸丸,水,治疗,none,无机制,special_merchant,reward_pT3,金币-6,升阶候选+1,1,shop_phase,待接入,合成商店
evt_battle_bonus,战斗奖励,五回合高奖,战斗结算,D1-D10,A,5回合内清场奖励提高,pal_011,企丸王,水,治疗,none,无机制,night_base,reward_fast_clear,5回合内清场,奖励x1.3,130,post_battle,正式,对齐5回合高奖
evt_battle_fail,战斗惩罚,十回合失败,战斗结算,D1-D10,A,10回合未清场扣城堡线,pal_012,电棘鼠,风,控制,none,无机制,night_base,reward_none,10回合未清场,城堡-1/经济x0.9,90,post_battle,正式,失败惩罚
evt_trap_bonus,地形,陷阱商人,夜晚商店,D3-D10,A,下一战陷阱伤害+1,pal_013,叶泥泥,土,坦克,none,无机制,elem_火,reward_trap,金币-2,陷阱伤害+1,1,pre_battle,正式,陷阱流
evt_shield_bless,祝福,护盾祝福,战斗前,D2-D10,A,开局全队获得护盾,pal_014,玉藻狐,风,经济,none,无机制,role_坦克,reward_tank,金币-2,护盾+2,2,pre_battle,正式,防御补强
evt_curse_gold,风险事件,贪婪诅咒,事件,D3-D10,A,获得金币但下一战奖励降低,pal_015,啼卡尔,土,坦克,none,无机制,night_base,reward_economy,奖励-10%,金币+4,4,event,正式,经济风险
evt_elite_reward,奖励,精英奖励,战斗结算,D5-D10,A,精英战后进入高奖池,pal_016,壶小象,水,治疗,none,无机制,elite_high,reward_elite,清精英,高奖池+1,1,post_battle,正式,高奖池
evt_mix_17,构筑事件,构筑事件17,事件,D1-D10,A,获得临时构筑补强17,pal_017,瞅什魔,土,坦克,none,无机制,elem_水,reward_pT2,金币-1,构筑补强+2,2,event,待接入,用于填充事件池，参数可后续调
evt_mix_18,构筑事件,构筑事件18,事件,D1-D10,A,获得临时构筑补强18,pal_018,米露菲,风,经济,none,无机制,elem_火,reward_pT3,金币-1,构筑补强+3,3,event,待接入,用于填充事件池，参数可后续调
evt_mix_19,构筑事件,构筑事件19,事件,D1-D10,A,获得临时构筑补强19,pal_019,寐魔,土,坦克,none,无机制,elem_风,reward_pT1,金币-1,构筑补强+1,1,event,待接入,用于填充事件池，参数可后续调
evt_mix_20,构筑事件,构筑事件20,事件,D1-D10,A,获得临时构筑补强20,pal_020,草莽猪,土,坦克,none,无机制,night_base,reward_pT2,金币-1,构筑补强+2,2,event,待接入,用于填充事件池，参数可后续调
evt_mix_21,构筑事件,构筑事件21,事件,D1-D10,A,获得临时构筑补强21,pal_021,露娜蒂,土,坦克,none,无机制,role_召唤,reward_pT3,金币-1,构筑补强+3,3,event,待接入,用于填充事件池，参数可后续调
evt_mix_22,构筑事件,构筑事件22,事件,D1-D10,A,获得临时构筑补强22,pal_022,遁地鼠,土,坦克,none,无机制,role_坦克,reward_pT1,金币-1,构筑补强+1,1,event,待接入,用于填充事件池，参数可后续调
evt_mix_23,构筑事件,构筑事件23,事件,D1-D10,A,获得临时构筑补强23,pal_023,勾魂鱿,土,坦克,mech_counter_damage,受击反伤,role_控制,reward_pT2,金币-1,构筑补强+2,2,event,待接入,用于填充事件池，参数可后续调
evt_mix_24,构筑事件,构筑事件24,事件,D1-D10,A,获得临时构筑补强24,pal_024,喵丝特,土,经济,none,无机制,role_机动,reward_pT3,金币-1,构筑补强+3,3,event,待接入,用于填充事件池，参数可后续调
evt_mix_25,构筑事件,构筑事件25,事件,D1-D10,A,获得临时构筑补强25,pal_025,鲁米儿,水,治疗,none,无机制,role_治疗,reward_pT1,金币-1,构筑补强+1,1,event,待接入,用于填充事件池，参数可后续调
evt_mix_26,构筑事件,构筑事件26,事件,D1-D10,A,获得临时构筑补强26,pal_026,猎狼,风,机动,none,无机制,role_经济,reward_pT2,金币-1,构筑补强+2,2,event,待接入,用于填充事件池，参数可后续调
evt_mix_27,构筑事件,构筑事件27,事件,D1-D10,A,获得临时构筑补强27,pal_027,炸蛋鸟,风,机动,none,无机制,role_输出,reward_pT3,金币-1,构筑补强+3,3,event,待接入,用于填充事件池，参数可后续调
evt_mix_28,构筑事件,构筑事件28,事件,D1-D10,A,获得临时构筑补强28,pal_028,波娜兔,风,治疗,none,无机制,tier_pT1,reward_pT1,金币-1,构筑补强+1,1,event,待接入,用于填充事件池，参数可后续调
evt_mix_29,构筑事件,构筑事件29,事件,D1-D10,A,获得临时构筑补强29,pal_029,波霸牛,风,经济,none,无机制,tier_pT2,reward_pT2,金币-1,构筑补强+2,2,event,待接入,用于填充事件池，参数可后续调
evt_mix_30,构筑事件,构筑事件30,事件,D1-D10,A,获得临时构筑补强30,pal_030,荆棘魔仙,风,治疗,none,无机制,tier_pT3,reward_pT3,金币-1,构筑补强+3,3,event,待接入,用于填充事件池，参数可后续调
evt_mix_31,构筑事件,构筑事件31,事件,D1-D10,A,获得临时构筑补强31,pal_031,鲨小子,水,治疗,mech_counter_damage,受击反伤,elem_土,reward_pT1,金币-1,构筑补强+1,1,event,待接入,用于填充事件池，参数可后续调
evt_mix_32,构筑事件,构筑事件32,事件,D1-D10,A,获得临时构筑补强32,pal_032,吊缚灵,土,坦克,none,无机制,elem_水,reward_pT2,金币-1,构筑补强+2,2,event,待接入,用于填充事件池，参数可后续调
