校验ID,模块,引用字段,引用数量,缺失数量,状态,说明,缺失样例
VAL001,01宠物主表,宠物ID,30,0,PASS,最终宠物池必须为30个,
VAL002,元素比例,元素,火12/水10/风8,0,PASS,第一版只做火水风，不做雷土暗,
VAL003,品质比例,品质,青铜12/白银10/黄金8,0,PASS,接近大巴扎低品多、高品少的池子,
VAL004,02怪物模板,宠物ID,30,0,PASS,02基础模板全部引用01宠物ID,
VAL005,03怪物波次,宠物ID,12,0,PASS,波次引用的宠物ID均在01或试炼配置中有映射,
VAL006,04机制词条库,机制ID,37,0,PASS,机制ID为全局效果主键,
VAL007,06商店奖励池,宠物ID,30,0,PASS,所有30宠都有商店奖励池行,
VAL008,08形状行动槽,宠物ID,30,0,PASS,所有30宠都有行动槽行,
VAL009,13第7天试炼,核心阵容,1金+3白银,0,PASS,融焰娘+火绒狐+冲浪鸭+疾风隼，疾风隼承接原旋风狸/风聚火功能,
VAL010,15召唤试炼题库,黄金复制体,4,0,PASS,棉悠悠/皮皮鸡/骑士蜂/精灵龙黄金复制体完整,
